cve_mun,nom_mun_corto,nom_mun_largo,img_mun
000,todos,Todos los municipios,
001,Abasolo,Abasolo,
005,Apaseo El Grande,Apaseo el Grande,
002,Acámbaro,Acámbaro,
003,San Miguel Allende,San Miguel de Allende,
004,Apaseo El Alto,Apaseo el Alto,
006,Atarjea,Atarjea,
007,Celaya,Celaya,
008,Manuel Doblado,Manuel Doblado,
009,Comonfort,Comonfort,
010,Coroneo,Coroneo,
011,Cortazar,Cortazar,
012,Cuerámaro,Cuerámaro,
013,Doctor Mora,Doctor Mora,
014,Dolores Hidalgo,Dolores Hidalgo Cuna de la Independencia Nacional,
015,Guanajuato,Guanajuato,
016,Huanímaro,Huanímaro,
017,Irapuato,Irapuato,
018,Jaral del Progreso,Jaral del Progreso,
019,Jérecuaro,Jerécuaro,
020,León,León,
021,Moroleón,Moroleón,
022,Ocampo,Ocampo,
023,Pénjamo,Pénjamo,
024,Pueblo Nuevo,Pueblo Nuevo,
025,Purisima del Rincon,Purísima del Rincón,
026,Romita,Romita,
027,Salamanca,Salamanca,
028,Salvatierra,Salvatierra,
029,San Diego de la Union,San Diego de la Unión,
030,San Felipe,San Felipe,
031,San Francisco del Rincon,San Francisco del Rincón,
032,San José Iturbide,San José Iturbide,
033,San Luis de la Paz,San Luis de la Paz,
034,Santa Catarina,Santa Catarina,
035,SC de Juventino Rosas,Santa Cruz de Juventino Rosas,
036,Santiago Maravatio,Santiago Maravatío,
037,Silao,Silao de la Victoria,
038,Tarandacuao,Tarandacuao,
039,Tarimoro,Tarimoro,
040,Tierra Blanca,Tierra Blanca,
041,Uriangato,Uriangato,
043,Victoria,Victoria,
042,Valle de Santiago,Valle de Santiago,
044,Villagrán,Villagrán,
045,Xichú,Xichú,
046,Yuriria,Yuriria,
